step,epoch,train_loss,val_loss,lr
10,1,23.407642364501953,,1.8749999999999998e-06
20,1,21.794586181640625,,3.7499999999999997e-06
30,1,22.225555419921875,,5.6249999999999995e-06
40,1,20.413911819458008,,7.499999999999999e-06
50,1,20.754627227783203,,9.375e-06
60,1,19.955852508544922,,1.1249999999999999e-05
70,1,18.365110397338867,,1.3124999999999999e-05
80,1,15.967602729797363,,1.4999999999999999e-05
90,1,15.756470680236816,,1.6875e-05
100,1,15.808621406555176,,1.875e-05
100,1,15.808621406555176,14.8686567153544,1.875e-05
110,1,14.549242973327637,,2.0625e-05
120,1,12.767658233642578,,2.2499999999999998e-05
130,1,13.911417961120605,,2.4375e-05
140,1,11.627424240112305,,2.6249999999999998e-05
150,1,15.13473129272461,,2.8125e-05
160,1,10.953117370605469,,2.9999999999999997e-05
170,1,11.349705696105957,,3.1874999999999996e-05
180,1,9.25708293914795,,3.375e-05
190,1,10.071990013122559,,3.5625e-05
200,1,10.668983459472656,,3.75e-05
200,1,10.668983459472656,9.345972204954064,3.75e-05
210,1,8.702994346618652,,3.9374999999999995e-05
220,1,8.773048400878906,,4.125e-05
230,1,9.802807807922363,,4.312499999999999e-05
240,1,7.513730049133301,,4.4999999999999996e-05
250,1,6.983557224273682,,4.6874999999999994e-05
260,1,7.13844108581543,,4.875e-05
270,1,6.956637859344482,,5.0625e-05
280,1,5.868509769439697,,5.2499999999999995e-05
290,1,8.182395935058594,,5.4374999999999994e-05
300,1,5.558602809906006,,5.625e-05
300,1,5.558602809906006,6.048323940113179,5.625e-05
310,1,7.936056137084961,,5.8124999999999997e-05
320,1,6.252176761627197,,5.9999999999999995e-05
330,1,5.2268218994140625,,6.187499999999999e-05
340,1,6.287303924560547,,6.374999999999999e-05
350,1,4.969259738922119,,6.5625e-05
360,1,4.606527328491211,,6.75e-05
370,1,4.868454933166504,,6.937499999999999e-05
380,1,4.407382488250732,,7.125e-05
390,1,3.6222519874572754,,7.312499999999999e-05
400,1,4.716074466705322,,7.5e-05
400,1,4.716074466705322,4.450291024397096,7.5e-05
410,1,5.650631904602051,,7.687499999999998e-05
420,1,4.693277359008789,,7.874999999999999e-05
430,1,4.676024913787842,,8.0625e-05
440,1,4.387575626373291,,8.25e-05
450,1,4.587277412414551,,8.437499999999999e-05
460,1,4.656565189361572,,8.624999999999998e-05
470,1,4.23618745803833,,8.8125e-05
480,1,3.8359131813049316,,8.999999999999999e-05
490,1,3.8503146171569824,,9.1875e-05
500,1,4.1321120262146,,9.374999999999999e-05
500,1,4.1321120262146,3.7870962854631482,9.374999999999999e-05
510,1,4.33917760848999,,9.562499999999998e-05
520,1,5.659214019775391,,9.75e-05
530,1,4.518884658813477,,9.937499999999999e-05
540,1,3.9528229236602783,,0.00010125
550,1,3.847745418548584,,0.00010312499999999999
560,1,4.231860160827637,,0.00010499999999999999
570,1,3.662907123565674,,0.000106875
580,1,3.2657902240753174,,0.00010874999999999999
590,1,4.150381088256836,,0.00011062499999999999
