step,epoch,train_loss,val_loss,lr
10,1,23.205442428588867,,2.7829313543599256e-06
20,1,21.749645233154297,,5.565862708719851e-06
30,1,21.793508529663086,,8.348794063079776e-06
40,1,19.99540901184082,,1.1131725417439702e-05
50,1,19.020641326904297,,1.3914656771799627e-05
60,1,18.766477584838867,,1.6697588126159552e-05
70,1,16.538488388061523,,1.9480519480519476e-05
80,1,14.264830589294434,,2.2263450834879405e-05
90,1,14.831247329711914,,2.504638218923933e-05
100,1,11.6371488571167,,2.7829313543599254e-05
100,1,11.6371488571167,13.040963091547464,2.7829313543599254e-05
110,1,12.304295539855957,,3.061224489795918e-05
120,1,10.988837242126465,,3.3395176252319103e-05
130,1,9.573015213012695,,3.617810760667903e-05
140,1,10.657658576965332,,3.896103896103895e-05
150,1,10.776174545288086,,4.174397031539889e-05
160,1,9.063689231872559,,4.452690166975881e-05
170,1,8.961979866027832,,4.730983302411874e-05
180,1,7.275058746337891,,5.009276437847866e-05
190,1,8.274834632873535,,5.287569573283858e-05
200,1,6.226832866668701,,5.565862708719851e-05
200,1,6.226832866668701,7.16700468918235,5.565862708719851e-05
210,1,8.571146965026855,,5.8441558441558436e-05
220,1,7.056570529937744,,6.122448979591836e-05
230,1,7.277948379516602,,6.400742115027829e-05
240,1,6.285864353179932,,6.679035250463821e-05
250,1,6.421603202819824,,6.957328385899813e-05
260,1,5.617738723754883,,7.235621521335806e-05
270,1,5.034376621246338,,7.513914656771798e-05
280,1,5.582053184509277,,7.79220779220779e-05
290,1,4.059262275695801,,8.070500927643785e-05
300,1,4.822399139404297,,8.348794063079778e-05
300,1,4.822399139404297,4.3764423151347005,8.348794063079778e-05
310,1,5.00900411605835,,8.627087198515769e-05
320,1,4.075737476348877,,8.905380333951762e-05
330,1,4.060006618499756,,9.183673469387755e-05
340,1,4.045594692230225,,9.461966604823747e-05
350,1,3.3985698223114014,,9.740259740259739e-05
360,1,3.9933812618255615,,0.00010018552875695732
370,1,3.4653496742248535,,0.00010296846011131725
380,1,4.148493766784668,,0.00010575139146567716
390,1,3.955169916152954,,0.00010853432282003709
400,1,3.436278820037842,,0.00011131725417439702
400,1,3.436278820037842,3.4489290084191695,0.00011131725417439702
410,1,3.233109712600708,,0.00011410018552875696
420,1,3.840477466583252,,0.00011688311688311687
430,1,2.563966751098633,,0.0001196660482374768
440,1,3.843900442123413,,0.00012244897959183673
450,1,3.1898913383483887,,0.00012523191094619666
460,1,3.8300411701202393,,0.00012801484230055658
470,1,3.488417863845825,,0.00013079777365491649
480,1,2.727902889251709,,0.00013358070500927641
490,1,3.625953435897827,,0.00013636363636363634
500,1,3.69468355178833,,0.00013914656771799627
500,1,3.69468355178833,3.1115195932426722,0.00013914656771799627
510,1,2.9669787883758545,,0.0001419294990723562
520,1,3.66080904006958,,0.00014471243042671613
530,1,2.57878041267395,,0.00014749536178107605
540,1,3.6948704719543457,,0.00015027829313543596
550,1,2.7260968685150146,,0.0001530612244897959
560,1,2.860239028930664,,0.0001558441558441558
570,1,3.0217885971069336,,0.00015862708719851577
580,1,2.6926803588867188,,0.0001614100185528757
590,1,2.7543954849243164,,0.0001641929499072356
600,1,2.967317581176758,,0.00016697588126159555
600,1,2.967317581176758,2.9244225935888655,0.00016697588126159555
610,1,3.2598330974578857,,0.00016975881261595545
620,1,3.2106614112854004,,0.00017254174397031538
630,1,2.456568479537964,,0.0001753246753246753
640,1,3.3235092163085938,,0.00017810760667903524
650,1,2.7688076496124268,,0.00018089053803339514
660,1,2.6939475536346436,,0.0001836734693877551
670,1,2.7946112155914307,,0.000186456400742115
680,1,2.9235990047454834,,0.00018923933209647495
690,1,5.7047600746154785,,0.00019202226345083488
700,1,3.7659595012664795,,0.00019480519480519478
700,1,3.7659595012664795,2.7853643498379954,0.00019480519480519478
710,1,2.9629220962524414,,0.00019758812615955473
720,1,2.759878396987915,,0.00020037105751391463
730,1,2.688108205795288,,0.00020315398886827456
740,1,2.699110269546509,,0.0002059369202226345
750,1,3.025221586227417,,0.00020871985157699442
760,1,3.0983519554138184,,0.00021150278293135432
770,1,2.6519088745117188,,0.00021428571428571427
780,1,3.351656198501587,,0.00021706864564007418
790,1,3.1977932453155518,,0.00021985157699443413
800,1,2.7338342666625977,,0.00022263450834879403
800,1,2.7338342666625977,2.7335311794196673,0.00022263450834879403
810,1,2.900036334991455,,0.00022541743970315396
820,1,2.78462553024292,,0.00022820037105751392
830,1,3.0396463871002197,,0.00023098330241187382
840,1,3.14131760597229,,0.00023376623376623374
850,1,2.7506375312805176,,0.00023654916512059367
860,1,2.632108688354492,,0.0002393320964749536
870,1,2.9151196479797363,,0.0002421150278293135
880,1,2.809966564178467,,0.00024489795918367346
890,1,2.456372022628784,,0.00024768089053803336
900,1,2.58948016166687,,0.0002504638218923933
900,1,2.58948016166687,2.6405768983079017,0.0002504638218923933
910,1,2.5770647525787354,,0.0002532467532467532
920,1,3.197023868560791,,0.00025602968460111317
930,1,2.3430237770080566,,0.00025881261595547307
940,1,2.8201608657836914,,0.00026159554730983297
950,1,2.7518506050109863,,0.0002643784786641929
960,1,2.8507943153381348,,0.00026716141001855283
970,1,2.9117207527160645,,0.0002699443413729128
980,1,2.8455164432525635,,0.0002727272727272727
990,1,2.6775736808776855,,0.00027551020408163264
1000,1,3.6206350326538086,,0.00027829313543599254
1000,1,3.6206350326538086,2.6931746783353514,0.00027829313543599254
1010,1,2.743199110031128,,0.0002810760667903525
1020,1,2.9558279514312744,,0.0002838589981447124
